accounts,key,permissions,tags,stake_age_timestamp,claim_amount
gu2tanbxhege,EOS7A5dUzSP9AvrjZMGKwj4Xb7mbPt4LVqszeV9GU6TxRcguw1LKt,active,ok,1735729200,8895.165
gm2tembthege,EOS7NYcy5NQocZqNxPZ3JEQ2vh7uuvSR1oArTn9qiaq9WebG51yaD,active,ok,1735729200,3465.0
pickmesendme,EOS5VMzGWNuDpcvJ4qpiiQ3n7CVqXr9J1fWe5A9GJMn62KfVBQ8SZ,active,ok,1735729200,267.3788
d1gitalon3o5,EOS64VjsPj6oYBKmqj1umZJVf537pm6xXNw32MYUpMxmvrjKNVof4,active,ok,1649678400,807.892
tiqpu54yj3t2,EOS8Gy5oTcSYQQbSqTbGYTcNpp1aU1LWXxrT9QGrXoEtdX3WZrqjX,active,ok,1735729200,11550.0
515zoo41v33h,EOS6fkNrp8r8R8kcFoPtgYY9wNKm5Ptpu6zgij5JRimC3F5fcMBmM,active,ok,1735729200,23100.0
neilsmith123,EOS8VaWM3orqdkgRfyB4WJ6MKpQQSFpQHUeNyoeCgC7eVCdbdw3pz,active,ok,1735729200,75732.555
wsbisbeeeest,EOS6R5dm2UXmcQRf5eMiWHdMN1HcfCy4ApYga9FP3vCiRuF1E8cHm,active,ok,1735729200,52500.0
nosnos131313,EOS4wbA9kBaQdVvjppAgsCaLSTRQWcqWD5uvtZaNs3GSts9aNQuvP,active,ok,1649678400,22730.9508
cryptonode42,EOS68PgFn1a71emyEC5WKBrmDP5DDYPHNkmRdsYie2AdZkYJpq2H1,active,ok,1649678400,685521.12
paulingers12,EOS5Px7PXRsvD8qpjWYxNXzKYBw6uwFAK5588mNR2yYuQdJ3TrS8r,active,ok,1735729200,561.0751
angclg111111,EOS6o5aSSLMw2rAFV4Q8zE8gaHFQtMmzPJMPp1r1eDFdjjuoyULwB,active,ok,1649678400,941.6712
ussnashville,EOS7GYFNK4KkxVpzYugCHQMNs6x2kGJHv8rKBCcF28zj8r5bkWGvJ,active,ok,1649678400,6203.5047
effectai1354,EOS8PmD7Mzm14hEhPLXmc4CRJPwakUUA5pHmqSv8kGML4LG2hJbJG,active,ok,1735729200,642.25
odejndpieff1,EOS51eHBJA8CjXFyHrDwJtkzrEeUkDPStDt6BBqEEXb2vvijwnLEB,active,ok,1735729200,4501.5
yalkohhfmrht,EOS634vPJ3uQK3Pmr9SaLUyABrZaSfCd1k1MU7YR77xaj9gUo73PB,active,ok,1735729200,20790.0
strabicsjill,EOS7t8jro57qQrGJpixCz3rDdhYZce4imfd7hQ8Ny9BYVb9PX9Tid,active,ok,1735729200,4350.0
josera155155,EOS6ZZai3ampsfXjEW1dZmCBxTgv5BJMwVGuJX6qKWbD36ca4w9RE,active,ok,1735729200,23100.0
aiefxgift.gm,EOS5bNrvjmpxvUViVJn6FDSpSciBoNSaovckmLL6We4TPnHunUjV9,active,ok,1735729200,800000.0
kewintjong11,EOS6ouFSevuCshi8uJZUio16hM87Du3s38BiAS1cqdrxxvSRb21sc,active,ok,1735729200,11550.0
akintsakints,EOS7oVhLx7gNtGyHkvgnF8H6AgFpcQeqJ39hZGErJoxtovLyr8GkS,active,ok,1735729200,242.0
gu3dgmzqg4ge,EOS6PjVd8unFbZPscX8HMgswizyfbLz4FgfU7KQR9ggJQxuMoKgZv,active,ok,1735729200,19838.8104
kisfpvemw4ve,EOS84K4t1wo6hcCBVbPeXcodRA7GGrHbaRw4YEGdXa3FQbRzQJjjY,active,ok,1735729200,39400.0
gm3dsmzthage,EOS6rUeEKpURXPiVzVcCei7A2A32nBwDRc2i7pXTLQKgzHCiBj6FR,active,ok,1735729200,12.58
killerkool22,EOS5XfebspzsR6XfBEB2gAPy1DEaB1Q55itf7qPYgRsw3Dek52HvJ,active,ok,1649678400,2706.4407
cryptopeter5,EOS61fQKwFU9ft3YM7N6wVMAAKSGcmQYjWwxKrcDJ2QtFXpj9GbHz,active,ok,1735729200,2310.0
jackvaldeos1,EOS8FYLJRyhsMC26iU2hj8yeUhCi8fkJBkAhWLvMYrqFukX5Uhzj2,active,ok,1649678400,256.8118
